c1,c2,c3,place,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Families in the group (Number),Total,"Single people, total",Hvidovre,14570,14717,14898,14908,14920,14870,15047,14951,15018,15258
Families in the group (Number),Total,"Single people, total",Høje-Taastrup,12367,12764,12937,13155,13339,13195,13799,14185,14940,15603
Families in the group (Number),Total,"Single people, total",Ishøj,5558,5685,5859,6003,6095,6207,6383,6480,6620,6637
Families in the group (Number),Total,"Single people, total",Lyngby-Taarbæk,15993,16082,16173,16327,16277,16135,16411,16815,16932,17019
Families in the group (Number),Total,"Single people, total",Rødovre,11343,11315,11345,11563,11749,11916,12097,12177,12499,13065
Families in the group (Number),Total,"Single people, total",Vallensbæk,2962,3022,3057,3254,3405,3465,3450,3424,3599,3859
Families in the group (Number),Total,"Single people, total",Allerød,4204,4258,4400,4579,4602,4647,4700,4700,4760,4825
Families in the group (Number),Total,"Single people, total",Egedal,6928,7135,7429,7655,7836,7836,8032,8186,8487,8806
Families in the group (Number),Total,"Single people, total",Fredensborg,9114,9347,9544,9576,9546,9685,9800,9975,10045,10270
Families in the group (Number),Total,"Single people, total",Frederikssund,10620,10769,11072,11242,11362,11611,11822,11937,12009,12366
Families in the group (Number),Total,"Single people, total",Furesø,8028,8352,8597,8664,8792,8718,8810,8816,8863,9122
Families in the group (Number),Total,"Single people, total",Gribskov,10125,10311,10464,10658,10803,10823,10827,10932,11108,11278
Families in the group (Number),Total,"Single people, total",Halsnæs,8243,8468,8531,8625,8653,8854,8925,8953,9071,9164
Families in the group (Number),Total,"Single people, total",Helsingør,17190,17397,17572,17765,17841,17835,17938,17901,18275,18578
Families in the group (Number),Total,"Single people, total",Hillerød,11594,11758,11897,12239,12425,12548,12814,13484,13834,14070
Families in the group (Number),Total,"Single people, total",Hørsholm,6074,6096,6207,6180,6229,6162,6138,6057,6088,6224
Families in the group (Number),Total,"Single people, total",Rudersdal,12736,12883,13088,13106,13260,13279,13300,13151,13149,13245
Families in the group (Number),Total,"Single people, total",Bornholm,11374,11593,11655,11663,11785,11845,12108,12160,12108,12254
Families in the group (Number),Total,"Single people, total",Greve,10066,10267,10445,10593,10861,11038,11255,11287,11473,11756
Families in the group (Number),Total,"Single people, total",Køge,14169,14583,14703,14932,15025,15151,15639,15979,16202,16586
Families in the group (Number),Total,"Single people, total",Lejre,5196,5297,5341,5371,5512,5672,5776,5970,5943,6292
Families in the group (Number),Total,"Single people, total",Roskilde,22312,22743,22857,23022,22886,22999,23328,23492,23718,24043
Families in the group (Number),Total,"Single people, total",Solrød,4027,4054,4196,4221,4345,4431,4502,4577,4733,4900
Families in the group (Number),Total,"Single people, total",Faxe,8398,8607,8774,8968,9166,9307,9571,9811,9996,10425
Families in the group (Number),Total,"Single people, total",Guldborgsund,17766,18041,18291,18657,18752,18812,18917,19035,19098,19241
Families in the group (Number),Total,"Single people, total",Holbæk,16860,17247,17757,18171,18454,18709,19114,19557,19805,20194
Families in the group (Number),Total,"Single people, total",Kalundborg,12900,13055,13190,13415,13509,13697,13743,13872,14100,14254
Families in the group (Number),Total,"Single people, total",Lolland,13312,13367,13492,13501,13498,13631,13594,13510,13504,13573
Families in the group (Number),Total,"Single people, total",Næstved,21659,22244,22577,23052,23314,23589,23738,24225,24708,25023
Families in the group (Number),Total,"Single people, total",Odsherred,9420,9570,9725,9861,10011,10139,10231,10223,10426,10539
Families in the group (Number),Total,"Single people, total",Ringsted,8181,8332,8537,8688,8823,8961,9055,9246,9464,9805
Families in the group (Number),Total,"Single people, total",Slagelse,21732,22166,22703,22973,23148,23348,23830,24256,24270,24701
Families in the group (Number),Total,"Single people, total",Sorø,7134,7195,7419,7460,7595,7698,7763,7768,7945,8153
Families in the group (Number),Total,"Single people, total",Stevns,5091,5222,5337,5509,5550,5511,5573,5797,5903,5933
Families in the group (Number),Total,"Single people, total",Vordingborg,13079,13358,13551,13735,13779,14069,13981,14048,14230,14531
Families in the group (Number),Total,"Single people, total",Assens,9017,9210,9411,9503,9536,9694,9861,9909,9955,10200
Families in the group (Number),Total,"Single people, total",Faaborg-Midtfyn,11828,11950,12124,12260,12516,12557,12568,12751,12779,13001
